,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Intentional homicide count and rate per 100,000 population, by country/territory (2000-2012)",,,,,,,,,,,,,,,,,,
Intentional homicide is defined as unlawful death purposefully inflicted on a person by another person,,,,,,,,,,,,,,,,,,
Region,Sub-region,Country/territory, Source,,Indicator,Year,,,,,,,,,,,,
,South America,Argentina,CJ,Ministry of Justice/CTS/OAS,Rate,7.2,8.2,9.2,7.6,5.9,5.5,5.3,5.3,5.8,5.5,5.5,,
,,,,,Count,"2,653","3,048","3,453","2,876","2,259","2,115","2,052","2,071","2,305","2,215","2,237",,
,,Bolivia (Plurinational State of),CJ,National police,Rate,,,,,,7.0,6.3,8.1,8.6,8.4,10.4,10.0,12.1
,,,,,Count,,,,,,654,598,787,850,835,"1,052","1,029","1,270"
,,Brazil,CJ,Anuario Brasileiro de Seguranca Publica,Rate,,,,,,,,23.5,23.9,23.0,22.2,23.4,25.2
,,,,,Count,,,,,,,,"44,625","45,885","44,518","43,272","46,177","50,108"
,,Chile,CJ,CTS/NSO,Rate,,,,3.2,,3.5,3.6,3.7,3.5,3.7,3.2,3.7,3.1
,,,,,Count,,,,513,,576,590,616,588,630,541,636,550
,,Colombia,CJ,National police/CTS,Rate,66.5,68.6,68.9,53.8,44.8,39.6,36.8,34.7,33.0,33.7,32.3,33.6,30.8
,,,,,Count,"26,540","27,840","28,387","22,526","19,036","17,086","16,119","15,423","14,911","15,454","15,013","15,803","14,670"
,,Ecuador,CJ,CTS/OAS/SES/National police,Rate,14.6,13.0,14.6,14.6,17.7,15.4,17.0,15.9,18.0,17.8,17.6,15.4,12.4
,,,,,Count,"1,833","1,658","1,906","1,937","2,390","2,121","2,385","2,273","2,607","2,625","2,638","2,345","1,924"
,,French Guiana,CJ,National police,Rate,,,,,29.8,22.3,20.1,13.1,14.5,13.3,,,
,,,,,Count,,,,,58,45,42,28,32,30,,,
,,Guyana,CJ,NSO/CTS,Rate,9.9,10.6,18.9,27.3,17.3,18.7,20.0,14.9,20.4,15.0,17.8,16.4,17.0
,,,,,Count,74,79,142,206,131,142,153,115,158,117,140,130,135
,,Paraguay,CJ,OAS/CTS,Rate,18.6,24.1,24.6,22.6,20.9,18.2,15.5,12.8,13.4,12.9,11.5,10.0,9.7
,,,,,Count,995,"1,314","1,372","1,285","1,209","1,076",934,783,833,821,741,657,649
,,Peru,CJ,CTS/National police/OAS,Rate,5.0,4.9,4.2,4.9,5.6,11.0,11.2,10.4,11.6,10.3,9.3,9.6,9.6
,,,,,Count,"1,302","1,294","1,136","1,316","1,526","3,057","3,141","2,934","3,332","2,969","2,709","2,850","2,865"
,,Suriname,PH,WHO,Rate,,,,,,,,,,,,,6.1
,,,,,Count,,,,,,,,,,,,,33
,,Uruguay,CJ,Ministry of Interior/SES,Rate,6.4,6.6,6.9,5.9,5.8,5.7,6.1,5.8,6.6,6.7,6.1,5.9,7.9
,,,,,Count,214,218,231,197,194,188,203,194,221,226,205,199,267
,,Venezuela (Bolivarian Republic of),CJ,NGO (c)/CTS/OAS,Rate,32.9,32.0,38.0,44.0,37.0,37.3,45.1,47.6,51.9,48.9,45.0,47.8,53.7
,,,,,Count,"8,022","7,960","9,617","11,342","9,719","9,964","12,257","13,156","14,589","13,985","13,080","14,098","16,072"
Asia,Central Asia,Kazakhstan,CJ,CTS/Transmonee,Rate,16.0,14.8,13.5,13.5,14.0,12.0,11.4,10.8,10.5,10.2,8.7,8.8,7.8
,,,,,Count,"2,325","2,160","1,967","1,991","2,091","1,804","1,729","1,656","1,642","1,604","1,387","1,420","1,263"
,,Kyrgyzstan,CJ,UNECE/CTS,Rate,8.7,7.7,8.2,8.4,8.4,8.3,8.3,8.3,8.3,8.0,20.1,9.1,
,,,,,Count,430,386,411,421,420,419,422,426,429,419,"1,072",494,
,,Tajikistan,CJ,Transmonee/CTS,Rate,4.6,3.7,2.8,2.5,2.1,2.3,2.8,1.9,1.4,1.3,2.4,1.6,
,,,,,Count,283,233,180,164,142,157,194,132,100,97,181,126,
,,Turkmenistan,PH,WHO,Rate,,,,,,,,,,,,,12.8
,,,,,Count,,,,,,,,,,,,,660
,,Uzbekistan,PH,WHO,Rate,,,,,,,,,,,,,3.7
,,,,,Count,,,,,,,,,,,,,"1,060"
,Eastern Asia,China,CJ,CTS/NSO,Rate,,,2.0,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1.0,,
,,,,,Count,,,"26,276","24,393","24,711","20,770","17,973","16,119","14,811","14,667","13,410",,
,,"China, Hong Kong SAR",CJ,CTS/National police,Rate,0.6,1.0,1.0,0.8,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4
,,,,,Count,38,66,69,52,45,34,35,18,36,47,35,17,27
,,"China, Macao SAR",CJ,CTS/NSO,Rate,5.1,,,2.9,2.2,1.5,2.3,2.2,1.6,1.9,0.7,,
,,,,,Count,22,,,13,10,7,11,11,8,10,4,,
,,Democratic People's Republic of Korea,PH,WHO,Rate,,,,,,,,,,,,,5.2
,,,,,Count,,,,,,,,,,,,,"1,293"
,,Japan,CJ,CTS,Rate,,,,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.3,
,,,,,Count,,,,697,699,643,619,574,646,506,465,442,
,,Mongolia,CJ,CTS,Rate,,,,13.9,13.3,15.8,13.1,11.3,8.1,8.2,8.8,9.7,
,,,,,Count,,,,343,333,398,336,293,212,219,239,266,
,,Republic of Korea,CJ,CTS,Rate,,,,,,,,,,,,0.9,
,,,,,Count,,,,,,,,,,,,427,
,,Taiwan Province of China,CJ,NSO,Rate,5.1,4.8,5.1,4.7,4.0,4.0,4.0,3.8,3.5,3.6,3.2,3.0,
,,,,,Count,"1,132","1,072","1,156","1,057",910,903,921,881,803,832,743,686,
,South-Eastern Asia,Brunei Darussalam,PH,WHO,Rate,,,,,,,,,,,,,2.0
,,,,,Count,,,,,,,,,,,,,8
,,Cambodia,PH,WHO,Rate,,,,,,,,,,,,,6.5
,,,,,Count,,,,,,,,,,,,,964
,,Indonesia,CJ,CTS,Rate,1.1,,,0.7,0.6,,,,0.6,0.6,0.4,0.6,0.6
,,,,,Count,"2,204",,,"1,635","1,419",,,,"1,372","1,311","1,058","1,467","1,456"
,,Lao People's Democratic Republic,PH,WHO,Rate,,,,,,,,,,,,,5.9
,,,,,Count,,,,,,,,,,,,,392
,,Malaysia,PH,WHO,Rate,,,,,,,,,,,,,2.3
,,,,,Count,,,,,,,,,,,,,652
,,Myanmar,PH,WHO,Rate,,,,,,,,,,,,,15.2
,,,,,Count,,,,,,,,,,,,,"8,044"
,,Philippines +,CJ,CTS/National police,Rate,7.4,7.4,8.1,7.8,7.5,7.5,7.1,6.5,6.4,6.9,9.5,9.1,8.8
,,,,,Count,"5,735","5,852","6,553","6,436","6,344","6,434","6,196","5,739","5,820","6,368","8,897","8,674","8,484"
,,Singapore,CJ,CTS/National police,Rate,0.9,0.7,0.5,0.6,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2
,,,,,Count,37,30,22,24,21,21,17,18,27,20,19,16,11
,,Thailand,CJ,National police,Rate,8.2,8.0,7.1,10.0,6.6,7.3,7.1,6.7,6.0,5.6,5.5,5.0,
,,,,,Count,"5,142","5,020","4,538","6,434","4,273","4,806","4,687","4,435","3,974","3,703","3,654","3,307",
,,Timor-Leste,CJ,UN-PKO,Rate,,,,,2.4,4.6,4.8,6.0,3.3,3.0,3.6,,
,,,,,Count,,,,,23,46,49,62,35,32,39,,
,,Viet Nam,PH,WHO,Rate,,,,,,,,,,,,,3.3
,,,,,Count,,,,,,,,,,,,,"3,037"
,Southern Asia,Afghanistan,CJ,NSO,Rate,,,,,,,,,,4.0,3.5,4.2,6.5
,,,,,Count,,,,,,,,,,"1,115",983,"1,231","1,948"
,,Bangladesh,CJ,National police,Rate,2.5,2.7,2.6,2.5,2.8,2.5,2.9,2.6,2.8,2.8,2.6,,2.7
,,,,,Count,"3,343","3,678","3,503","3,471","3,902","3,592","4,166","3,863","4,099","4,219","3,988",,"4,169"
,,Bhutan,CJ,NSO,Rate,3.2,3.3,3.2,0.8,2.4,1.7,1.4,1.2,1.0,1.1,1.7,,
,,,,,Count,18,19,19,5,15,11,9,8,7,8,12,,
,,India,CJ,National police,Rate,4.5,4.3,4.2,3.7,3.8,3.7,3.6,3.6,3.6,3.5,3.5,3.6,3.5
,,,,,Count,"47,368","45,487","44,855","40,029","41,941","41,206","41,426","41,521","41,899","41,542","42,299","43,741","43,355"
,,Iran (Islamic Republic of),PH,WHO,Rate,,,,,,,,,,,,,4.1
,,,,,Count,,,,,,,,,,,,,"3,126"
,,Maldives,PH,WHO,Rate,,,,,,,,,,,,,3.9
,,,,,Count,,,,,,,,,,,,,13
,,Nepal,CJ,NSO,Rate,2.7,3.6,3.6,3.1,3.8,3.6,2.5,3.4,3.4,3.0,3.0,2.9,
,,,,,Count,635,848,858,757,936,913,633,893,889,804,818,786,
,,Pakistan,CJ,NSO,Rate,6.2,6.5,6.3,6.1,6.3,6.1,6.2,6.4,7.2,7.3,7.6,7.9,7.7
,,,,,Count,"8,906","9,528","9,396","9,346","9,719","9,631","10,048","10,556","12,059","12,491","13,208","13,860","13,846"
,,Sri Lanka,CJ,CTS/National police,Rate,,,,6.7,7.0,6.1,10.2,8.2,7.3,4.7,3.6,3.4,
,,,,,Count,,,,"1,310","1,377","1,221","2,045","1,663","1,488",958,745,707,
,Western Asia,Armenia,CJ,CTS,Rate,,,,,2.7,1.9,2.6,2.6,2.8,2.8,1.5,2.2,1.8
,,,,,Count,,,,,83,58,79,77,83,83,44,65,54
,,Azerbaijan,CJ,CTS/Transmonee,Rate,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2.0,1.9,1.8,2.1,,
,,,,,Count,226,218,212,183,201,192,190,176,168,164,194,,
,,Bahrain,CJ,CTS/National police,Rate,,,,0.4,0.9,0.5,0.7,0.4,0.5,1.1,0.9,0.5,
,,,,,Count,,,,3,7,4,7,4,6,13,11,7,
,,Cyprus,CJ,CTS,Rate,,,,,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,2.0
,,,,,Count,,,,,16,20,15,13,9,19,8,9,23
,,Georgia,CJ,Transmonee/CTS,Rate,5.0,5.6,6.3,6.6,6.6,9.0,7.3,7.5,6.0,4.8,4.3,,
,,,,,Count,239,263,292,302,298,403,323,330,263,210,187,,
,,Iraq,PH,WHO,Rate,,,,,,,,,,,,,8.0
,,,,,Count,,,,,,,,,,,,,"2,628"
,,Israel,CJ,CTS/NSO,Rate,2.4,3.6,3.6,3.1,2.7,2.5,2.7,1.8,1.9,1.8,2.0,2.0,1.8
,,,,,Count,147,223,227,195,173,166,182,125,136,128,145,151,134
,,Jordan,CJ,CTS/NSO,Rate,,,,,,1.3,1.8,1.7,1.7,1.5,1.7,2.0,
,,,,,Count,,,,,,67,100,98,100,91,109,133,
,,Kuwait,PH,WHO,Rate,,,,,,,,,,,,,0.4
,,,,,Count,,,,,,,,,,,,,12
,,Lebanon,CJ,National police,Rate,,,,,3.2,3.9,2.1,2.6,6.0,1.9,2.2,,
,,,,,Count,,,,,123,156,85,108,252,81,95,,
,,Oman,CJ,CTS/NSO,Rate,,0.6,0.6,,,,,0.7,0.7,,,1.1,
,,,,,Count,,13,15,,,,,18,18,,,34,
,,Qatar,PH,WHO,Rate,,,,,,,,,,,,,1.1
,,,,,Count,,,,,,,,,,,,,23
,,Saudi Arabia,PH,WHO,Rate,,,,,,,,,,,,,0.8
,,,,,Count,,,,,,,,,,,,,234
,,State of Palestine,PH,WHO,Rate,,,,,,,,,,,,,7.4
,,,,,Count,,,,,,,,,,,,,312
,,Syrian Arab Republic,CJ,NSO,Rate,2.2,2.3,2.2,2.3,2.4,2.3,2.4,2.8,2.7,2.4,2.2,,
,,,,,Count,357,376,368,405,426,430,446,533,529,476,463,,
,,Turkey,CJ,CTS/UNECE,Rate,,,,4.3,4.4,4.9,4.6,3.7,3.3,3.3,2.7,2.6,
,,,,,Count,,,,"2,837","2,914","3,305","3,168","2,540","2,320",2366*,1923*,1866*,
,,United Arab Emirates#,CJ,CTS,Rate,,,,,,,,,,,0.8,0.6,0.7
,,,,,Count,,,,,,,,,,,67,51,69
